rank,country,actual_reward_usd,predicted_baseline_usd,residual_usd,valuation_status,log
1,Timor-Leste,22.65396987740327,8.031539359424706,14.622430517978565,Overvalued (+),3.682099041
2,Algeria,25.0,14.911731842488287,10.088268157511713,Overvalued (+),4.269192026
3,Iran,25.0,15.207720650364791,9.792279349635209,Overvalued (+),4.294449016
4,Libya,23.69630410279605,14.312357081807235,9.383947020988813,Overvalued (+),4.218046841
5,Ukraine,24.347482768279175,14.998267990582079,9.349214777697096,Overvalued (+),4.276576233
6,Tunisia,23.064188980287128,13.899288991509735,9.164899988777393,Overvalued (+),4.182799371
7,Brazil,25.0,16.091155034359026,8.908844965640974,Overvalued (+),4.369833263
8,Morocco,20.959781317420774,12.293556983401572,8.666224334019201,Overvalued (+),4.045780821
9,Myanmar,17.674649994386975,9.166958512862891,8.507691481524084,Overvalued (+),3.778985374
10,China,25.0,17.234095355799788,7.765904644200212,Overvalued (+),4.467361384
11,Sudan,11.792434812592978,4.032934171220653,7.759500641372325,Overvalued (+),3.34089448
12,Argentina,25.0,17.769400672754244,7.230599327245756,Overvalued (+),4.513039466
13,Bosnia and Herzegovina,23.799531474435074,16.583666999813644,7.21586447462143,Overvalued (+),4.41185975
14,Serbia,25.0,17.971968065514382,7.028031934485618,Overvalued (+),4.530324723
15,Micronesia,14.37361913176858,7.8097389328073845,6.563880198961195,Overvalued (+),3.663172612
16,Albania,23.124435666327223,17.037306854703388,6.087128811623835,Overvalued (+),4.450569245
17,Mexico,22.59451645740595,16.59434472674819,6.000171730657758,Overvalued (+),4.41277089
18,Vanuatu,13.299081291271717,7.7214785792035485,5.577602712068169,Overvalued (+),3.655641277
19,Greece,25.0,19.441832496612967,5.558167503387033,Overvalued (+),4.655749571
20,Latvia,25.0,19.539064067459364,5.460935932540636,Overvalued (+),4.664046428
21,Iraq,18.723459600517867,13.565612626441947,5.15784697407592,Overvalued (+),4.154326468
22,Slovakia,25.0,19.877478036629128,5.122521963370872,Overvalued (+),4.692923595
23,Russia,25.0,19.904186217642824,5.095813782357176,Overvalued (+),4.695202628
24,Hungary,25.0,19.931778791110858,5.068221208889142,Overvalued (+),4.697557127
25,Romania,25.0,20.03864146914644,4.961358530853559,Overvalued (+),4.706675815
26,Croatia,25.0,20.043747486117617,4.956252513882383,Overvalued (+),4.707111516
27,Tuvalu,14.710183049509189,9.763636020702961,4.946547028806227,Overvalued (+),3.8299004
28,Montenegro,23.093015257050798,18.194118131027047,4.898897126023751,Overvalued (+),4.549280987
29,Bulgaria,24.22538699163266,19.349637788418264,4.875749203214397,Overvalued (+),4.647882514
30,Estonia,25.0,20.158267906370156,4.841732093629844,Overvalued (+),4.716883646
31,Portugal,25.0,20.258873261104576,4.741126738895424,Overvalued (+),4.725468391
32,Poland,25.0,20.36470409716074,4.63529590283926,Overvalued (+),4.734499031
33,Sao Tome and Principe,14.08545535123481,9.476482840257745,4.608972510977065,Overvalued (+),3.805397362
