rank,country,actual_reward_usd,predicted_baseline_usd,residual_usd,valuation_status,log
1,Switzerland,10.05446331604537,5.629245403273789,4.425217912771581,Overvalued (+),5.010780414
2,United Kingdom,7.864507945961364,5.006551148263647,2.8579567976977174,Overvalued (+),4.810276184
3,New Zealand,7.4940112140964645,4.845865211140831,2.6481460029556336,Overvalued (+),4.758536169
4,Norway,8.1921748362334,5.6492309329628405,2.54294390327056,Overvalued (+),5.017215648
5,Iceland,7.890086146853657,5.351440011295274,2.538646135558383,Overvalued (+),4.921328559
6,Denmark,7.385775749776993,5.347989916899651,2.0377858328773417,Overvalued (+),4.920217647
7,Luxembourg,8.089851051810498,6.20021968696963,1.8896313648408682,Overvalued (+),5.194631089
8,France,6.824089390765575,4.99331027994581,1.8307791108197655,Overvalued (+),4.806012695
9,Solomon Islands,2.5331456718858614,0.767216516268304,1.7659291556175574,Overvalued (+),3.445233036
10,Sweden,6.893067247384179,5.162562560778168,1.730504686606011,Overvalued (+),4.860511027
11,Vanuatu,3.091932748833022,1.4206690787279062,1.671263670105116,Overvalued (+),3.655641277
12,Micronesia,3.0787260690751603,1.44405870515652,1.6346673639186404,Overvalued (+),3.663172612
13,Germany,6.8072158769654445,5.2150443117871745,1.59217156517827,Overvalued (+),4.877409871
14,Tuvalu,3.490775883449639,1.9618554406076818,1.5289204428419572,Overvalued (+),3.8299004
15,Georgia,5.438984601784978,3.9453023177632893,1.4936822840216886,Overvalued (+),4.468559719
16,Mozambique,1.5804287388017604,0.09853955264644831,1.481889186155312,Overvalued (+),3.229922619
17,Liberia,1.7713920896429283,0.30656363697413624,1.464828452668792,Overvalued (+),3.296905265
18,Israel,6.330489151707038,4.9004053098976765,1.4300838418093615,Overvalued (+),4.77609779
19,Marshall Islands,3.7705277225607032,2.34266005052573,1.4278676720349734,Overvalued (+),3.952517454
20,Belgium,6.628260500445687,5.201904013457611,1.4263564869880758,Overvalued (+),4.873178765
21,Central African Republic,1.1318161364859802,-0.24732968997287585,1.379145826458856,Overvalued (+),3.118554567
22,Burundi,1.0,-0.3166510334856252,1.3166510334856252,Overvalued (+),3.096233464
23,Netherlands,6.7198983841694275,5.4128879325101416,1.307010451659286,Overvalued (+),4.941114462
24,Australia,6.4291005042237455,5.1514618148541675,1.277638689369578,Overvalued (+),4.856936646
25,DR Congo,1.5143790043841723,0.26418968377033636,1.250189320613836,Overvalued (+),3.283261078
26,Italy,6.095844002194154,4.968354313916297,1.1274896882778567,Overvalued (+),4.797977007
27,Finland,6.1294249020355345,5.032970806231631,1.096454095803903,Overvalued (+),4.818783173
28,Tonga,3.3827055676029705,2.298361282841105,1.0843442847618654,Overvalued (+),3.938253487
29,Maldives,4.951813133115543,3.905304270360661,1.046508862754882,Overvalued (+),4.455680561
30,Kuwait,5.834710831374451,4.8249460417684595,1.0097647896059918,Overvalued (+),4.751800308
31,Canada,6.029839832619791,5.050489518676267,0.9793503139435238,Overvalued (+),4.824424105
32,Somalia,1.0,0.05398673417126432,0.9460132658287357,Overvalued (+),3.215576849
33,Japan,5.650236698448732,4.799731164619455,0.8505055338292768,Overvalued (+),4.743681252
34,Kiribati,2.055433539984412,1.2327200193600039,0.8227135206244083,Overvalued (+),3.595122682
35,Barbados,4.551462188097515,3.7733653278797856,0.7780968602177296,Overvalued (+),4.413196925
36,Benin,2.266814653541936,1.5049068214084347,0.7619078321335011,Overvalued (+),3.682765381
37,Malawi,1.0,0.24968815172060133,0.7503118482793987,Overvalued (+),3.278591662
38,Sudan,1.1816987632947145,0.44317836805939237,0.7385203952353221,Overvalued (+),3.34089448
39,Ireland,6.92170831625041,6.18764514334976,0.7340631729006493,Overvalued (+),5.190582153
40,Spain,5.625267802057534,4.903805192281739,0.721462609775795,Overvalued (+),4.777192534
41,Madagascar,1.0,0.28694305742750537,0.7130569425724946,Overvalued (+),3.290587543
42,Saint Kitts and Nevis,4.862955806065549,4.246610670345204,0.6163451357203451,Overvalued (+),4.565579402
43,Guinea-Bissau,1.5863530538803048,0.9919757224257548,0.59437733145455,Overvalued (+),3.517604302
44,Niger,1.0,0.4339044505216574,0.5660955494783426,Overvalued (+),3.337908328
45,Papua New Guinea,2.1217335597055906,1.6119571436954416,0.509776416010149,Overvalued (+),3.717235014
46,Austria,5.743861605756628,5.239343888065841,0.5045177176907867,Overvalued (+),4.885234205
47,Saint Lucia,4.410105494241301,3.9109110526418114,0.49919444159948956,Overvalued (+),4.457485915
48,Portugal,5.136493112796432,4.743168547900604,0.39332456489582857,Overvalued (+),4.725468391
49,Togo,1.6690470393010624,1.2807635229650494,0.388283516336013,Overvalued (+),3.610592434
50,Samoa,2.777012671048849,2.3949897648557386,0.3820229061931104,Overvalued (+),3.969367343
51,Slovenia,5.259006782330922,4.889696415182659,0.3693103671482634,Overvalued (+),4.772649583
52,Grenada,3.8803872299746924,3.512860626102233,0.3675266038724594,Overvalued (+),4.3293158
53,Lesotho,1.2735790973669712,0.9465859956826481,0.32699310168432305,Overvalued (+),3.502989052
54,Honduras,2.4807657013045805,2.167245639707156,0.3135200615974245,Overvalued (+),3.896034949
55,Jamaica,3.1622291821766066,2.8738753559949703,0.2883538261816363,Overvalued (+),4.12356595
56,Zimbabwe,2.1888225954529834,1.9029470490213676,0.28587554643161583,Overvalued (+),3.810932212
57,Sao Tome and Principe,2.1598539438412354,1.8857577892369584,0.27409615460427705,Overvalued (+),3.805397362
58,Jordan,3.0750914468143566,2.8052203185463362,0.2698711282680204,Overvalued (+),4.101459394
59,Cyprus,5.255398441333879,5.0058855564970735,0.24951288483680578,Overvalued (+),4.810061867
60,Chad,1.0,0.8217987678970538,0.17820123210294625,Overvalued (+),3.46280823
61,South Africa,3.2879371744814843,3.1160727701584285,0.17186440432305572,Overvalued (+),4.201552226
62,Mali,1.2446953414602513,1.0752263059032217,0.16946903555702963,Overvalued (+),3.544410546
63,Singapore,6.41244753379319,6.2576698867085465,0.1547776470846438,Overvalued (+),5.213129747
64,Zambia,1.5242370750253242,1.3764434489003037,0.14779362612502056,Overvalued (+),3.64140086
65,China,4.070374310695438,3.941580718871947,0.12879359182349148,Overvalued (+),4.467361384
66,Comoros,1.4603455398902254,1.3323025689232377,0.1280429709669877,Overvalued (+),3.627187732
67,Saudi Arabia,5.312010602133692,5.185695201585013,0.1263154005486795,Overvalued (+),4.867959614
68,Oman,4.551462195895797,4.435158624723105,0.11630357117269252,Overvalued (+),4.626290838
69,Namibia,2.8389390204220732,2.7344263978548184,0.1045126225672548,Overvalued (+),4.078664129
70,Burkina Faso,1.0,0.8980734159874064,0.10192658401259358,Overvalued (+),3.48736826
